all_sig_categories	Freq
NEGATIVE REGULATION OF BIOLOGICAL PROCESS%GOBP%GO:0048519	212
DEVELOPMENTAL PROCESS%GOBP%GO:0032502	207
ANATOMICAL STRUCTURE DEVELOPMENT%GOBP%GO:0048856	204
NEGATIVE REGULATION OF CELLULAR PROCESS%GOBP%GO:0048523	203
EXTRACELLULAR REGION%GOCC%GO:0005576	202
EXTRACELLULAR REGION PART%GOCC%GO:0044421	201
MULTICELLULAR ORGANISM DEVELOPMENT%GOBP%GO:0007275	201
REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048583	201
REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051239	198
SYSTEM DEVELOPMENT%GOBP%GO:0048731	198
EXTRACELLULAR SPACE%GOCC%GO:0005615	197
REGULATION OF PRIMARY METABOLIC PROCESS%GOBP%GO:0080090	190
CELL DIFFERENTIATION%GOBP%GO:0030154	187
POSITIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009893	187
ANIMAL ORGAN DEVELOPMENT%GOBP%GO:0048513	186
CELLULAR DEVELOPMENTAL PROCESS%GOBP%GO:0048869	186
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	186
REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051171	186
REGULATION OF CELL PROLIFERATION%GOBP%GO:0042127	183
REGULATION OF LOCALIZATION%GOBP%GO:0032879	183
VESICLE%GOCC%GO:0031982	183
CELL PERIPHERY%GOCC%GO:0071944	182
CELLULAR COMPONENT ORGANIZATION OR BIOGENESIS%GOBP%GO:0071840	181
CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0016043	181
LOCALIZATION%GOBP%GO:0051179	181
REGULATION OF BIOLOGICAL QUALITY%GOBP%GO:0065008	180
PLASMA MEMBRANE%GOCC%GO:0005886	179
POSITIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010604	178
RESPONSE TO STRESS%GOBP%GO:0006950	176
REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009966	175
PLASMA MEMBRANE PART%GOCC%GO:0044459	172
POSITIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031325	172
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	172
REGULATION OF CELL COMMUNICATION%GOBP%GO:0010646	172
REGULATION OF SIGNALING%GOBP%GO:0023051	172
EXTRACELLULAR ORGANELLE%GOCC%GO:0043230	169
POSITIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051240	169
EXTRACELLULAR VESICLE%GOCC%GO:1903561	167
POSITIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051173	167
RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0009605	166
EXTRACELLULAR EXOSOME%GOCC%GO:0070062	165
REGULATION OF MULTICELLULAR ORGANISMAL DEVELOPMENT%GOBP%GO:2000026	165
REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045595	158
REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0065009	156
RESPONSE TO CHEMICAL%GOBP%GO:0042221	154
REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009889	151
REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031326	151
IMMUNE SYSTEM PROCESS%GOBP%GO:0002376	150
POSITIVE REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0051094	150
RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0010033	150
REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0019219	149
ANATOMICAL STRUCTURE MORPHOGENESIS%GOBP%GO:0009653	147
CELLULAR RESPONSE TO CHEMICAL STIMULUS%GOBP%GO:0070887	146
REGULATION OF GENE EXPRESSION%GOBP%GO:0010468	146
REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002682	146
CELL SURFACE%GOCC%GO:0009986	145
REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051128	145
NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0007399	144
REGULATION OF CELL DEATH%GOBP%GO:0010941	144
REGULATION OF CELLULAR COMPONENT MOVEMENT%GOBP%GO:0051270	143
REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051246	143
CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007166	142
REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0051174	142
REGULATION OF PHOSPHORYLATION%GOBP%GO:0042325	142
TISSUE DEVELOPMENT%GOBP%GO:0009888	142
REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019220	141
REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001932	139
REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0032268	138
NEGATIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048585	137
REGULATION OF LOCOMOTION%GOBP%GO:0040012	136
REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010556	135
POSITIVE REGULATION OF CELL PROLIFERATION%GOBP%GO:0008284	134
REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031399	134
NEGATIVE REGULATION OF METABOLIC PROCESS%GOBP%GO:0009892	133
POSITIVE REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045597	133
REGULATION OF CELL MIGRATION%GOBP%GO:0030334	133
REGULATION OF PROGRAMMED CELL DEATH%GOBP%GO:0043067	133
NEGATIVE REGULATION OF CELLULAR METABOLIC PROCESS%GOBP%GO:0031324	132
NABA_MATRISOME%MSIGDB_C2%NABA_MATRISOME	130
POSITIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010647	130
POSITIVE REGULATION OF GENE EXPRESSION%GOBP%GO:0010628	130
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056	130
RECEPTOR BINDING%GOMF%GO:0005102	130
REGULATION OF APOPTOTIC PROCESS%GOBP%GO:0042981	130
REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0050790	130
REGULATION OF CELL MOTILITY%GOBP%GO:2000145	130
ION BINDING%GOMF%GO:0043167	128
NEGATIVE REGULATION OF NITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:0051172	128
POSITIVE REGULATION OF BIOSYNTHETIC PROCESS%GOBP%GO:0009891	128
REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051252	128
CELL DEVELOPMENT%GOBP%GO:0048468	127
IMMUNE SYSTEM%REACTOME%R-HSA-168256.6	127
ORGANONITROGEN COMPOUND METABOLIC PROCESS%GOBP%GO:1901564	127
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967	127
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	127
REGULATION OF TRANSPORT%GOBP%GO:0051049	127
CELLULAR RESPONSE TO ORGANIC SUBSTANCE%GOBP%GO:0071310	125
MOVEMENT OF CELL OR SUBCELLULAR COMPONENT%GOBP%GO:0006928	125
NEUROGENESIS%GOBP%GO:0022008	125
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002684	125
NEGATIVE REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0010605	124
NEGATIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS%GOBP%GO:0051241	124
REGULATION OF CELLULAR MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:2000112	124
DEFENSE RESPONSE%GOBP%GO:0006952	123
NEGATIVE REGULATION OF SIGNALING%GOBP%GO:0023057	123
REGULATION OF TRANSCRIPTION, DNA-TEMPLATED%GOBP%GO:0006355	123
POSITIVE REGULATION OF CELLULAR BIOSYNTHETIC PROCESS%GOBP%GO:0031328	122
POSITIVE REGULATION OF MACROMOLECULE BIOSYNTHETIC PROCESS%GOBP%GO:0010557	122
REGULATION OF RNA BIOSYNTHETIC PROCESS%GOBP%GO:2001141	122
ESTABLISHMENT OF LOCALIZATION%GOBP%GO:0051234	121
GENERATION OF NEURONS%GOBP%GO:0048699	121
LOCOMOTION%GOBP%GO:0040011	121
NEGATIVE REGULATION OF CELL COMMUNICATION%GOBP%GO:0010648	121
REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION%GOBP%GO:1903506	121
POSITIVE REGULATION OF PROTEIN METABOLIC PROCESS%GOBP%GO:0051247	119
CATALYTIC ACTIVITY%GOMF%GO:0003824	117
CELL COMMUNICATION%GOBP%GO:0007154	117
IDENTICAL PROTEIN BINDING%GOMF%GO:0042802	117
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045935	117
PLASMA MEMBRANE BOUNDED CELL PROJECTION%GOCC%GO:0120025	116
REGULATION OF RESPONSE TO STRESS%GOBP%GO:0080134	116
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:0006357	116
CELL PROJECTION%GOCC%GO:0042995	115
NEGATIVE REGULATION OF CELL DEATH%GOBP%GO:0060548	115
POSITIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS%GOBP%GO:0032270	115
POSITIVE REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0045937	115
POSITIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0010562	115
MULTI-ORGANISM PROCESS%GOBP%GO:0051704	114
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	114
PROTEIN DIMERIZATION ACTIVITY%GOMF%GO:0046983	114
HOMEOSTATIC PROCESS%GOBP%GO:0042592	113
INTRACELLULAR NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043232	112
MACROMOLECULAR COMPLEX%GOCC%GO:0032991	112
NON-MEMBRANE-BOUNDED ORGANELLE%GOCC%GO:0043228	112
RESPONSE TO OXYGEN-CONTAINING COMPOUND%GOBP%GO:1901700	112
PROTEIN COMPLEX%GOCC%GO:0043234	111
REGULATION OF CELL ADHESION%GOBP%GO:0030155	111
POSITIVE REGULATION OF MOLECULAR FUNCTION%GOBP%GO:0044093	110
